,title,tmdb_id,imdb_id,release_date,release_month,release_day_of_week,original_language,origin_country,production_budget_raw,production_budget_adj,runtime,primary_genre,genres_list,mpaa_rating,format_premium,spoiler_risk,wiki_hype,director_id,director_name,producer_id,producer_name,cast_ids,cast_names,is_sequel,sequel_parent_rating,sequel_parent_revenue_adj,franchise_hunger,distributor,opening_theaters,calendar_ratio,bom_intl_lifetime,bom_ww_lifetime,target_dom_7day,bom_dom_lifetime,rev_day_1,theaters_day_1,rank_day_1,rev_day_2,theaters_day_2,rank_day_2,rev_day_3,theaters_day_3,rank_day_3,rev_day_4,theaters_day_4,rank_day_4,rev_day_5,theaters_day_5,rank_day_5,rev_day_6,theaters_day_6,rank_day_6,rev_day_7,theaters_day_7,rank_day_7
33,Dick Tracy,8592,tt0099422,1990-04-05,4,3,en,US,47000000.0,116654934.96557002,105,Adventure,Adventure|Comedy|Crime,Unrated,1.0,0.0,,6449.0,Warren Beatty,6449.0,Warren Beatty,6449|1158|3125,Warren Beatty|Al Pacino|Madonna,0,,,,Touchstone Pictures,,,59000000.0,162738726.0,,103738726.0,,,,,,,,,,,,,,,,,,,,,
34,Ernest Goes to Jail,18943,tt0099512,1990-04-06,4,4,en,US,,,81,Comedy,Comedy|Family|Crime,Unrated,1.0,0.0,,83961.0,John Cherry,2004666.0,Stacy Williams,12899|2886|147454,Jim Varney|Gailard Sartain|Bill Byrge,1,5.7,28202109.0,1.4,Silver Screen Partners IV,,,,25029569.0,,25029569.0,,,,,,,,,,,,,,,,,,,,,
35,I Love You to Death,3101,tt0099819,1990-04-06,4,4,en,US,,,94,Comedy,Comedy|Crime|Romance,Unrated,1.0,0.0,,8844.0,Lawrence Kasdan,30387.0,Lynn Isenberg,8945|30364|23709,Kevin Kline|Tracey Ullman|Joan Plowright,0,,,,TriStar Pictures,,,,16186793.0,,16186793.0,,,,,,,,,,,,,,,,,,,,,
36,Cry-Baby,9768,tt0099329,1990-04-06,4,4,en,US,11000000.0,27302218.82172916,85,Comedy,Comedy|Romance,PG-13,1.0,0.0,,10367.0,John Waters,56891.0,Rachel Talalay,85|21412|59369,Johnny Depp|Amy Locane|Susan Tyrrell,0,,,,Universal Pictures,,,312.0,8267340.0,,8266343.0,,,,,,,,,,,,,,,,,,,,,
37,Miami Blues,14931,tt0100143,1990-04-20,4,4,en,US,,,97,Action,Action|Crime|Drama|Thriller,Unrated,1.0,1.0,,58294.0,George Armitage,27098.0,Gary Goetzman,10430|7447|10431,Fred Ward|Alec Baldwin|Jennifer Jason Leigh,0,,,,Orion Pictures,,,,9888167.0,,9888167.0,,,,,,,,,,,,,,,,,,,,,
38,Clownhouse,25756,tt0094886,1990-04-21,4,5,en,US,200000.0,496403.9785768937,81,Horror,Horror,Unrated,1.0,0.0,,56349.0,Victor Salva,56349.0,Victor Salva,222703|222704|222721,Nathan Forrest Winters|Brian McHugh|Bobby Salem,0,,,,Commercial Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Q & A,31598,tt0100442,1990-04-27,4,4,en,US,,,132,Action,Action|Thriller|Crime,Unrated,1.0,0.0,,39996.0,Sidney Lumet,3016.0,Burtt Harris,1733|16327|23346,Nick Nolte|Timothy Hutton|Armand Assante,0,,,,Regency Enterprises,,,,11207891.0,,11207891.0,,,,,,,,,,,,,,,,,,,,,
40,The Krays,21344,tt0099951,1990-04-27,4,4,en,GB,,,115,Drama,Drama|Crime|History,Unrated,1.0,0.0,,21377.0,Peter Medak,82805.0,Ray Burdis,7042|47652|8226,Gary Kemp|Martin Kemp|Billie Whitelaw,0,,,,Fugitive Features,,,,2060847.0,,2060847.0,,,,,,,,,,,,,,,,,,,,,
41,The Guardian,32043,tt0099710,1990-04-27,4,4,en,US,,,92,Drama,Drama|Fantasy|Horror|Mystery|Thriller,Unrated,1.0,0.0,,15175.0,William Friedkin,21024.0,Joe Wizan,36820|23974|10679,Jenny Seagrove|Dwier Brown|Carey Lowell,0,,,,Universal Pictures,,,,17037887.0,,17037887.0,,,,,,,,,,,,,,,,,,,,,
42,Tales from the Darkside: The Movie,20701,tt0100740,1990-05-03,5,3,en,US,3500000.0,8687069.62509564,93,Thriller,Thriller|Comedy|Fantasy|Horror,Unrated,1.0,0.0,,13367.0,John Harrison,64797.0,Mitchell Galin,102|11716|3675763,Debbie Harry|Matthew Lawrence|David Forrester,0,,,,Paramount Pictures,,,,16324573.0,,16324573.0,,,,,,,,,,,,,,,,,,,,,
43,The Amityville Curse,41848,tt0099030,1990-05-07,5,0,en,CA,750000.0,1861514.9196633515,91,Horror,Horror,Unrated,1.0,0.0,,56982.0,Tom Berry,56981.0,Franco Battista,8335|548848|201798,Kim Coates|Dawna Wightman|Helen Hughes,1,4.4,,1.0,CFCF-TV,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Buried Alive,37865,tt0099188,1990-05-09,5,2,en,US,2000000.0,4964039.785768936,94,Thriller,Thriller|Crime|Horror|TV Movie,Unrated,1.0,0.0,,4027.0,Frank Darabont,4028.0,Niki Marvin,21561|10431|7676,Tim Matheson|Jennifer Jason Leigh|William Atherton,0,,,,Niki Marvin Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"White Hunter, Black Heart",28761,tt0100928,1990-05-16,5,2,en,US,24000000.0,59568477.42922724,112,Adventure,Adventure|Drama,Unrated,1.0,0.0,,190.0,Clint Eastwood,190.0,Clint Eastwood,190|20495|10477,Clint Eastwood|Jeff Fahey|George Dzundza,0,,,,Warner Bros. Pictures,,,,2319124.0,,2319124.0,,,,,,,,,,,,,,,,,,,,,
46,A Grand Day Out,530,tt0104361,1990-05-18,5,4,en,GB,17300.0,42938.9441469013,24,Family,Family|Animation|Comedy|Science Fiction|Fantasy,Unrated,1.0,0.0,,7314.0,Nick Park,7656.0,Rob Copeland,7317,Peter Sallis,0,,,,Aardman,,,,86663.0,,86663.0,,,,,,,,,,,,,,,,,,,,,
47,Cadillac Man,10164,tt0099204,1990-05-18,5,4,en,US,,,97,Comedy,Comedy|Drama|Crime,R,1.0,1.0,,21370.0,Roger Donaldson,21370.0,Roger Donaldson,2157|504|14699,Robin Williams|Tim Robbins|Pamela Reed,0,,,,Orion Pictures,,,,27627310.0,,27627310.0,,,,,,,,,,,,,,,,,,,,,
48,Bird on a Wire,1727,tt0099141,1990-05-18,5,4,en,US,20000000.0,49640397.857689366,110,Action,Action|Adventure|Comedy|Romance,Unrated,1.0,1.0,,12840.0,John Badham,18878.0,Rob Cohen,2461|18892|141,Mel Gibson|Goldie Hawn|David Carradine,0,,,,Universal Pictures,,,67719000.0,138697012.0,,70978012.0,,,,,,,,,,,,,,,,,,,,,
49,Gate II,40729,tt0099636,1990-05-24,5,3,en,CA,6500000.0,16133129.303749043,93,Horror,Horror|Fantasy,R,1.0,0.0,,42309.0,Tibor Takács,20181.0,András Hámori,51425|51038|54888,Louis Tripp|Simon Reynolds|James Villemaire,1,6.1,13539458.0,3.1,Epic Productions,,,,2032973.0,,2032973.0,,,,,,,,,,,,,,,,,,,,,
50,The Witches,10166,tt0100944,1990-05-25,5,4,en,GB,11000000.0,27302218.82172916,91,Fantasy,Fantasy|Family|Horror,Unrated,1.0,0.0,,14132.0,Nicolas Roeg,55982.0,Mark Shivas,55157|55156|5657,Jasen Fisher|Mai Zetterling|Anjelica Huston,0,,,,Lorimar Film Entertainment,,,3195.0,10363748.0,,10360553.0,,,,,,,,,,,,,,,,,,,,,
51,Fire Birds,6470,tt0099575,1990-05-25,5,4,en,US,22000000.0,54604437.64345831,85,Action,Action|Adventure,Unrated,1.0,0.0,,51910.0,David Green,35510.0,Bill Badalato,2963|2176|586,Nicolas Cage|Tommy Lee Jones|Sean Young,0,,,,Nova International Films,,,,14760451.0,,14760451.0,,,,,,,,,,,,,,,,,,,,,
52,Back to the Future Part III,196,tt0099088,1990-05-25,5,4,en,US,40000000.0,99280795.71537872,119,Adventure,Adventure|Comedy|Science Fiction,Unrated,1.0,0.0,,24.0,Robert Zemeckis,1059.0,Neil Canton,521|1062|2453,Michael J. Fox|Christopher Lloyd|Mary Steenburgen,1,7.8,119361197.0,0.5,Universal Pictures,2019.0,0.3406927551560021,156800000.0,245077583.0,27761250.0,88277583.0,5511870.0,2019.0,1.0,7429920.0,2019.0,1.0,6147855.0,2019.0,1.0,4613415.0,2019.0,1.0,1534440.0,2019.0,1.0,1271970.0,2019.0,1.0,1251780.0,2019.0,1.0
53,Frankenhooker,27274,tt0099611,1990-06-01,6,4,en,US,2500000.0,6205049.732211171,85,Comedy,Comedy|Horror|Science Fiction,R,1.0,0.0,,86250.0,Frank Henenlotter,99031.0,Edgar Ievins,167080|935902|1096093,James Lorinz|Patty Mullen|Joseph Gonzalez,0,,,,Levins-Henenlotter Productions,,,3447.0,208515.0,,205068.0,,,,,,,,,,,,,,,,,,,,,
54,Total Recall,861,tt0100802,1990-06-01,6,4,en,US,65000000.0,161331293.03749043,113,Action,Action|Adventure|Science Fiction,Unrated,1.0,1.0,,10491.0,Paul Verhoeven,12882.0,Buzz Feitshans,1100|10768|4430,Arnold Schwarzenegger|Rachel Ticotin|Sharon Stone,0,,,,Carolco Pictures,2060.0,0.3098023396530859,141905000.0,261317921.0,36080900.0,119412921.0,7992800.0,2060.0,1.0,9826200.0,2060.0,1.0,7714700.0,2060.0,1.0,3017900.0,2060.0,1.0,2626500.0,2060.0,1.0,2533800.0,2060.0,1.0,2369000.0,2060.0,1.0
55,Jetsons: The Movie,17009,tt0099878,1990-06-06,6,2,en,US,,,82,Animation,Animation|Comedy|Family|Science Fiction,Unrated,1.0,0.0,,13620.0,William Hanna,13620.0,William Hanna,16531|33923|34178,George O'Hanlon|Mel Blanc|Penny Singleton,0,,,,Hanna-Barbera Cartoons,,,,20305841.0,,20305841.0,,,,,,,,,,,,,,,,,,,,,
56,Lionheart,9399,tt0100029,1990-06-07,6,3,en,US,6000000.0,14892119.35730681,105,Action,Action,R,1.0,0.0,,16590.0,Sheldon Lettich,57665.0,Eric Karson,15111|45101|115888,Jean-Claude Van Damme|Harrison Page|Lisa Pelikan,0,,,,Universal Pictures,,,193000.0,24271196.0,,24078196.0,,,,,,,,,,,,,,,,,,,,,
57,Another 48 Hrs.,11595,tt0099044,1990-06-08,6,4,en,US,38000000.0,94316755.9296098,95,Thriller,Thriller|Action|Comedy|Crime,Unrated,1.0,1.0,,1723.0,Walter Hill,1093.0,Lawrence Gordon,776|1733|591,Eddie Murphy|Nick Nolte|Brion James,1,6.9,78868508.0,7.5,Paramount Pictures,,,72700000.0,153518974.0,,80818974.0,,,,,,,,,,,,,,,,,,,,,
58,Gremlins 2: The New Batch,928,tt0099700,1990-06-15,6,4,en,US,50000000.0,124100994.64422342,106,Comedy,Comedy|Horror|Fantasy,Unrated,1.0,1.0,,4600.0,Joe Dante,16154.0,Michael Finnell,16170|16171|5589,Zach Galligan|Phoebe Cates|John Glover,1,7.3,153642180.0,6.0,Amblin Entertainment,,,843.0,41483050.0,,41482207.0,,,,,,,,,,,,,,,,,,,,,
59,RoboCop 2,5549,tt0100502,1990-06-22,6,4,en,US,35000000.0,86870696.25095639,117,Action,Action|Adventure|Crime|Science Fiction|Thriller,Unrated,1.0,0.0,,10930.0,Irvin Kershner,7723.0,Jon Davison,27811|44038|119232,Peter Weller|Nancy Allen|Tom Noonan,1,7.6,53424681.0,2.9,Orion Pictures,,,1311.0,45682484.0,,45681173.0,,,,,,,,,,,,,,,,,,,,,
60,Days of Thunder,2119,tt0099371,1990-06-27,6,2,en,US,60000000.0,148921193.5730681,107,Adventure,Adventure|Action|Drama,Unrated,1.0,0.0,,893.0,Tony Scott,771.0,Don Simpson,500|3087|2227,Tom Cruise|Robert Duvall|Nicole Kidman,0,,,,Paramount Pictures,,,75250000.0,157920733.0,,82670733.0,,,,,,,,,,,,,,,,,,,,,
61,Ghost Dad,10485,tt0099654,1990-06-29,6,4,en,US,30000000.0,74460596.78653406,84,Comedy,Comedy|Family|Fantasy,Unrated,1.0,0.0,,16897.0,Sidney Poitier,1455432.0,Terence Nelson,51962|65397|65398,Bill Cosby|Kimberly Russell|Denise Nicholas,0,,,,SAH Productions,,,714000.0,25421633.0,,24707633.0,,,,,,,,,,,,,,,,,,,,,
62,Die Hard 2,1573,tt0099423,1990-07-03,7,1,en,US,70000000.0,173741392.50191277,124,Action,Action|Thriller,Unrated,1.0,0.0,,16938.0,Renny Harlin,1091.0,Joel Silver,62|7673|6573,Bruce Willis|Bonnie Bedelia|William Sadler,1,8.2,85892546.0,2.0,Gordon Company,,,122490327.0,240031274.0,,117540947.0,,,,,,,,,,,,,,,,,,,,,
63,The Adventures of Ford Fairlane,9548,tt0098987,1990-07-11,7,2,en,US,49000000.0,121618974.75133894,102,Action,Action|Comedy|Thriller|Crime|Mystery|Adventure,Unrated,1.0,0.0,,16938.0,Renny Harlin,4699.0,Steve Perry,57906|10681|12949,Andrew Dice Clay|Wayne Newton|Priscilla Presley,0,,,,Silver Pictures,,,,21413502.0,,21413502.0,,,,,,,,,,,,,,,,,,,,,
64,Ghost,251,tt0099653,1990-07-13,7,4,en,US,22000000.0,54604437.64345831,127,Fantasy,Fantasy|Drama|Thriller|Mystery|Romance,Unrated,1.0,0.0,,3415.0,Jerry Zucker,3428.0,Howard W. Koch,723|3416|2395,Patrick Swayze|Demi Moore|Whoopi Goldberg,0,,,,Paramount Pictures,,,288072251.0,505703557.0,,217631306.0,,,,,,,,,,,,,,,,,,,,,
65,Quick Change,10729,tt0100449,1990-07-13,7,4,en,US,15000000.0,37230298.39326703,89,Comedy,Comedy|Crime,Unrated,1.0,0.0,,2357.0,Howard Franklin,1532.0,Bill Murray,1532|16935|1811,Bill Murray|Geena Davis|Randy Quaid,0,,,,Devoted Productions,,,,15260154.0,,15260154.0,,,,,,,,,,,,,,,,,,,,,
66,Maniac Cop 2,28090,tt0100107,1990-07-18,7,2,en,US,4000000.0,9928079.571537873,87,Action,Action|Horror|Thriller|Crime,Unrated,1.0,0.0,,44765.0,William Lustig,19266.0,Larry Cohen,2055|52300|4250,Robert Davi|Claudia Christian|Michael Lerner,1,6.0,671382.0,2.2,Overseas FilmGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,King of New York,9558,tt0099939,1990-07-18,7,2,en,US,5300000.0,13154705.432287682,103,Thriller,Thriller|Crime,Unrated,1.0,1.0,,39104.0,Abel Ferrara,59623.0,Mary Kane,4690|16560|2975,Christopher Walken|David Caruso|Laurence Fishburne,0,,,,Reteitalia,,,,2554476.0,,2554476.0,,,,,,,,,,,,,,,,,,,,,
